AlgorithmName,DefaultID,Enabled,EnvironmentVariable
nonsense,0xfe95,no,OQS_CODEPOINT_NONSENSE
x25519_kyber512,0xfe30,yes,OQS_CODEPOINT_X25519_KYBER512
frodo640aes,0x200,yes,OQS_CODEPOINT_FRODO640AES
p256_frodo640aes,0x2f00,yes,OQS_CODEPOINT_P256_FRODO640AES
x25519_frodo640aes,0x2f80,yes,OQS_CODEPOINT_X25519_FRODO640AES
frodo640shake,0x201,yes,OQS_CODEPOINT_FRODO640SHAKE
p256_frodo640shake,0x2f01,yes,OQS_CODEPOINT_P256_FRODO640SHAKE
x25519_frodo640shake,0x2f81,yes,OQS_CODEPOINT_X25519_FRODO640SHAKE
frodo976aes,0x202,yes,OQS_CODEPOINT_FRODO976AES
p384_frodo976aes,0x2f02,yes,OQS_CODEPOINT_P384_FRODO976AES
x448_frodo976aes,0x2f82,yes,OQS_CODEPOINT_X448_FRODO976AES
frodo976shake,0x203,yes,OQS_CODEPOINT_FRODO976SHAKE
p384_frodo976shake,0x2f03,yes,OQS_CODEPOINT_P384_FRODO976SHAKE
x448_frodo976shake,0x2f83,yes,OQS_CODEPOINT_X448_FRODO976SHAKE
frodo1344aes,0x204,yes,OQS_CODEPOINT_FRODO1344AES
p521_frodo1344aes,0x2f04,yes,OQS_CODEPOINT_P521_FRODO1344AES
frodo1344shake,0x205,yes,OQS_CODEPOINT_FRODO1344SHAKE
p521_frodo1344shake,0x2f05,yes,OQS_CODEPOINT_P521_FRODO1344SHAKE
kyber512,0x23a,yes,OQS_CODEPOINT_KYBER512
p256_kyber512,0x2f3a,yes,OQS_CODEPOINT_P256_KYBER512
x25519_kyber512,0x2f39,yes,OQS_CODEPOINT_X25519_KYBER512
kyber768,0x23c,yes,OQS_CODEPOINT_KYBER768
p384_kyber768,0x2f3c,yes,OQS_CODEPOINT_P384_KYBER768
x448_kyber768,0x2f90,yes,OQS_CODEPOINT_X448_KYBER768
kyber1024,0x23d,yes,OQS_CODEPOINT_KYBER1024
p521_kyber1024,0x2f3d,yes,OQS_CODEPOINT_P521_KYBER1024
bikel1,0x241,yes,OQS_CODEPOINT_BIKEL1
p256_bikel1,0x2f41,yes,OQS_CODEPOINT_P256_BIKEL1
x25519_bikel1,0x2fae,yes,OQS_CODEPOINT_X25519_BIKEL1
bikel3,0x242,yes,OQS_CODEPOINT_BIKEL3
p384_bikel3,0x2f42,yes,OQS_CODEPOINT_P384_BIKEL3
x448_bikel3,0x2faf,yes,OQS_CODEPOINT_X448_BIKEL3
bikel5,0x243,yes,OQS_CODEPOINT_BIKEL5
p521_bikel5,0x2f43,yes,OQS_CODEPOINT_P521_BIKEL5
kyber90s512,0x23e,yes,OQS_CODEPOINT_KYBER90S512
p256_kyber90s512,0x2f3e,yes,OQS_CODEPOINT_P256_KYBER90S512
x25519_kyber90s512,0x2fa9,yes,OQS_CODEPOINT_X25519_KYBER90S512
kyber90s768,0x23f,yes,OQS_CODEPOINT_KYBER90S768
p384_kyber90s768,0x2f3f,yes,OQS_CODEPOINT_P384_KYBER90S768
x448_kyber90s768,0x2faa,yes,OQS_CODEPOINT_X448_KYBER90S768
kyber90s1024,0x240,yes,OQS_CODEPOINT_KYBER90S1024
p521_kyber90s1024,0x2f40,yes,OQS_CODEPOINT_P521_KYBER90S1024
hqc128,0x22c,yes,OQS_CODEPOINT_HQC128
p256_hqc128,0x2f2c,yes,OQS_CODEPOINT_P256_HQC128
x25519_hqc128,0x2fac,yes,OQS_CODEPOINT_X25519_HQC128
hqc192,0x22d,yes,OQS_CODEPOINT_HQC192
p384_hqc192,0x2f2d,yes,OQS_CODEPOINT_P384_HQC192
x448_hqc192,0x2fad,yes,OQS_CODEPOINT_X448_HQC192
hqc256,0x22e,yes,OQS_CODEPOINT_HQC256
p521_hqc256,0x2f2e,yes,OQS_CODEPOINT_P521_HQC256
dilithium2,0xfea0,no,OQS_CODEPOINT_DILITHIUM2
p256_dilithium2,0xfea1,no,OQS_CODEPOINT_P256_DILITHIUM2
rsa3072_dilithium2,0xfea2,no,OQS_CODEPOINT_RSA3072_DILITHIUM2
dilithium3,0xfea3,no,OQS_CODEPOINT_DILITHIUM3
p384_dilithium3,0xfea4,no,OQS_CODEPOINT_P384_DILITHIUM3
dilithium5,0xfea5,no,OQS_CODEPOINT_DILITHIUM5
p521_dilithium5,0xfea6,no,OQS_CODEPOINT_P521_DILITHIUM5
dilithium2_aes,0xfea7,no,OQS_CODEPOINT_DILITHIUM2_AES
p256_dilithium2_aes,0xfea8,no,OQS_CODEPOINT_P256_DILITHIUM2_AES
rsa3072_dilithium2_aes,0xfea9,no,OQS_CODEPOINT_RSA3072_DILITHIUM2_AES
dilithium3_aes,0xfeaa,no,OQS_CODEPOINT_DILITHIUM3_AES
p384_dilithium3_aes,0xfeab,no,OQS_CODEPOINT_P384_DILITHIUM3_AES
dilithium5_aes,0xfeac,no,OQS_CODEPOINT_DILITHIUM5_AES
p521_dilithium5_aes,0xfead,no,OQS_CODEPOINT_P521_DILITHIUM5_AES
falcon512,0xfeae,no,OQS_CODEPOINT_FALCON512
p256_falcon512,0xfeaf,no,OQS_CODEPOINT_P256_FALCON512
rsa3072_falcon512,0xfeb0,no,OQS_CODEPOINT_RSA3072_FALCON512
falcon1024,0xfeb1,no,OQS_CODEPOINT_FALCON1024
p521_falcon1024,0xfeb2,no,OQS_CODEPOINT_P521_FALCON1024
sphincsharaka128frobust,0xfe42,no,OQS_CODEPOINT_SPHINCSHARAKA128FROBUST
p256_sphincsharaka128frobust,0xfe43,no,OQS_CODEPOINT_P256_SPHINCSHARAKA128FROBUST
rsa3072_sphincsharaka128frobust,0xfe44,no,OQS_CODEPOINT_RSA3072_SPHINCSHARAKA128FROBUST
sphincsharaka128fsimple,0xfe45,no,OQS_CODEPOINT_SPHINCSHARAKA128FSIMPLE
p256_sphincsharaka128fsimple,0xfe46,no,OQS_CODEPOINT_P256_SPHINCSHARAKA128FSIMPLE
rsa3072_sphincsharaka128fsimple,0xfe47,no,OQS_CODEPOINT_RSA3072_SPHINCSHARAKA128FSIMPLE
sphincsharaka128srobust,0xfe48,no,OQS_CODEPOINT_SPHINCSHARAKA128SROBUST
p256_sphincsharaka128srobust,0xfe49,no,OQS_CODEPOINT_P256_SPHINCSHARAKA128SROBUST
rsa3072_sphincsharaka128srobust,0xfe4a,no,OQS_CODEPOINT_RSA3072_SPHINCSHARAKA128SROBUST
sphincsharaka128ssimple,0xfe4b,no,OQS_CODEPOINT_SPHINCSHARAKA128SSIMPLE
p256_sphincsharaka128ssimple,0xfe4c,no,OQS_CODEPOINT_P256_SPHINCSHARAKA128SSIMPLE
